Words,Frequency
thingthatwouldbecomeastandardtranslation,1
itwasthebesttranslationavailablefor,1
apparently,2
there,88
interest,3
speaking,5
countries,4
since,5
took,13
start,6
second,6
world,5
renew,1
several,13
people,19
unsatisfactory,1
united,6
states,17
series,4
military,62
science,7
books,10
wasnt,1
until,28
samuel,1
b,1
grifth,1
still,15
print,1
equal,9
while,32
lucid,2
lacks,2
copious,3
make,71
so,83
interesting,7
produced,3
primarily,2
intended,5
scholars,6
civiliza,1
tionandlanguage,1
itcontainsthechinesetextofsuntzutheenglishtranslationand,1
voluminousnotesalongwithnumerousfootnotes,1
unfortunatelysomeofhisnotesand,1
footnotes,1
characters,3
some,41
completely,5
thus,72
conver,1
sion,2
alphabet,1
difcult,14
conversion,5
complete,8
ignorance,4
except,6
learned,3
doing,3
faced,1
difculttaskofparaphrasingitwhileretainingasmuchoftheimportanttextasicould,1
everyparaphraserepresentsalossthusididwhaticouldtoretainasmuchofthetext,1
aspossible,1
becausethetextcontainsachineseconcordanceiwasabletotrans,1
literate,1
proper,11
names,7
like,31
risk,3
making,14
obscure,6
howeverthetextonthewholeisquitesatisfactoryforthecasualreaderatransform,1
ation,3
made,33
possible,20
come,33
away,21
task,2
feeling,6
loss,6
know,36
someone,1
background,2
do,64
better,13
job,1
attempt,8
welcomed,1
bob,1
sutton,1
alclevelandfreenetedu,1
bobsgnuaimitedu,1
chapter,151
ssuma,21
chien,28
gives,13
following,20
biography,7
native,4
chi,76
state,45
brought,12
him,124
ho,41
luking,1
lu,35
said,56
carefully,10
perused,1
your,133
chapters,17
submit,3
theory,7
managing,1
soldiers,63
slight,3
test,3
replied,18
asked,9
applied,5
women,6
answer,3
again,25
afrmative,1
arrangements,5
bring,13
ladies,1
palace,1
divided,7
them,113
com,6
panies,1
placed,7
one,108
kings,5
favorite,4
concubines,4
head,19
each,33
then,85
bade,2
take,30
spears,3
their,136
hands,10
addressed,3
presume,1
difference,2
between,25
front,18
back,16
right,29
hand,30
left,18
girls,5
yes,2
suntzuwenton,1
whenisayeyesfrontyoumustlookstraightahead,1
whenisayleftturnyoumustfacetowardsyourlefthand,1
whenisay,1
turn,21
must,109
face,9
towards,16
say,23
about,40
round,4
assented,1
command,14
having,21
ex,3
plained,2
set,17
halberds,1
battleaxes,1
order,55
begin,10
drill,2
sound,5
drums,12
gave,4
onlyburstoutlaughing,1
suntzusaid,2
ifwordsofcommandarenotclear,1
anddistinctifordersarenotthoroughlyunderstoodthenthegeneralisto,1
blame,2
shi,5
ch,69
reigned,1
bc,30
started,2
drilling,3
whereupon,6
once,24
burst,1
ts,2
laughter,2
clear,14
distinct,4
orders,20
thoroughly,8
understood,3
general,102
nevertheless,4
disobey,2
fault,1
ofcers,26
saying,43
ordered,11
leaders,7
companies,2
beheaded,6
now,39
king,30
watching,1
scene,6
top,1
raised,7
pavilion,1
saw,6
executed,3
greatly,1
alarmed,2
hurriedly,1
sent,21
down,27
message,1
we,186
quite,16
satised,2
our,115
generals,17
ability,14
handle,4
troops,31
bereft,1
these,71
meat,1
drink,3
will,218
lose,5
savor,1
wish,8
shall,28
received,4
majestys,2
commission,2
forces,21
certain,23
commands,8
majesty,4
acting,3
capacity,1
am,8
unable,11
accept,3
accordingly,5
had,93
straightway,2
installed,1
pair,1
next,10
place,26
done,7
drum,2
sounded,2
went,4
through,22
evolutions,4
turning,7
marching,6
ahead,4
wheeling,1
kneeling,1
standing,5
perfect,5
accuracy,1
precision,3
notventuringtoutterasound,1
thensuntzusentamessengertotheking,1
sire,1
properly,5
drilled,1
disciplined,3
ready,12
inspection,1
put,22
sovereign,10
desire,2
bid,1
go,11
re,31
water,25
let,22
cease,1
return,7
camp,30
us,60
inspect,1
thereupon,2
only,87
fond,5
cannot,37
translate,3
deeds,1
after,48
who,130
knew,7
how,27
armyandnallyappointedhimgeneral,1
inthewesthedefeatedthechu,1
forced,7
way,36
ying,14
capital,9
north,3
fear,18
chin,28
spread,1
fame,3
abroad,2
amongst,16
feudal,4
princes,6
shared,2
might,16
himself,39
tell,6
heproceedstogiveabiographyofhisdescendantsunpinbornaboutahundredyears,1
famous,14
ancestors,1
death,26
also,48
outstanding,1
genius,4
historian,1
speaks,4
too,24
read,7
feet,3
cut,14
off,23
continued,3
discuss,3
warit,1
seems,15
likely,13
pin,8
nickname,1
bestowed,3
mutilation,1
unless,15
story,13
invented,1
account,19
name,17
crowning,1
incident,3
career,1
crushing,4
defeat,25
treacherous,3
rival,3
pang,6
chuan,54
briey,2
related,2
v,8
ss,82
note,34
toreturntotheeldersuntzu,1
heismentionedintwootherpassagesoftheshih,1
third,8
year,11
reign,2
eld,13
tzuhsu,6
ie,7
yuan,9
po,12
pei,8
attacked,13
chu,37
capturedthetownofshuandslewthetwoprincessonswhohadformerly,1
meditating,2
descent,1
exhausted,9
wait,9
successful,5
ghting,21
ninth,2
formerlyyoudeclaredthatitwasnotyetpossibleforustoenter,1
ripe,2
men,112
chus,3
changisgraspingandcovetousandtheprincesoftangandtsaiboth,1
grudge,2
against,62
resolved,1
grand,1
win,9
tang,21
tsai,4
succeed,10
holufollowedthisadvicebeatchuinvepitchedbattlesandmarched,1
latest,1
date,7
anything,6
recorded,3
does,35
appear,13
survived,4
patron,2
diedfrom,1
effects,3
wound,1
another,22
occursthis,1
passage,24
onward,2
number,20
arose,2
kaofanwho,1
employed,12
wangtzuin,1
service,12
developed,1
threw,4
light,12
principles,10
obvious,4
enough,16
least,6
doubt,10
reality,1
historical,6
personage,1
exception,3
noticed,3
presently,3
far,16
most,27
important,12
authority,14
period,17
necessary,9
therefore,21
yueh,19
chun,3
chiu,6
supposed,2
written,10
chao,43
yeh,6
st,1
century,13
ad,36
attribution,1
somewhat,8
doubtful,3
otherwise,4
value,6
based,3
shih,51
expanded,1
romantic,1
details,5
noting,2
recommended,3
calledanativeofwu,1
hehadpreviouslylivedaretiredlifeandhiscontemporaries,1
unaware,3
thefollowingpassageoccursinthehuainantzu,1
whensovereignandministers,1
show,10
perversity,1
mind,15
impossible,11
encounter,3
foe,6
appellation,2
nang,1
wa,1
hu,1
yen,10
mentioned,16
wangtzu,1
chengfu,1
assuming,2
genuine,5
hitherto,2
cast,2
here,39
earliest,4
direct,12
reference,3
huainan,2
died,4
many,18
before,41
given,23
liu,7
hsiang,8
says,126
reason,10
why,8
beat,2
latter,14
undisciplined,2
teng,3
mingshih,2
informs,1
surname,1
wus,7
grandfather,1
duke,12
ching,22
father,5
ping,4
rose,4
tobeaministerofstateinchiandsunwuhimselfwhosestylewaschangching,1
ed,7
rebellion,2
being,50
fomented,1
kindred,1
tienpao,4
hehadthreesonsofwhomthesecondnamedmingwasthefatherofsun,1
grandson,2
considering,4
thatsunpinsvictoryoverweiwasgainedinbcmaybedismissedaschronolo,1
gical,1
whence,2
data,1
obtained,5
course,16
reliance,2
whatever,2
document,1
close,12
han,46
theshortprefacewrittenbythegreattsaotsaoorweiwutiforhiseditionofsun,1
full,8
heard,5
ancients,2
used,20
bows,4
arrows,4
advantage,32
shu,38
mentions,11
among,12
eight,4
objects,4
gov,2
ernment,3
indicates,3
rmness,1
justice,4
experiencedleaderwillhavegoodfortunetheshihchingsays,1
kingrosemajesticinhiswrathandhemarshaledhistroopstheyellow,1
emperor,17
completer,1
wang,40
battle,49
axes,1
succor,5
generation,1
fa,7
man,51
slay,1
purpose,13
rightfully,1
slain,7
whoreliessolelyonwarlikemeasuresshallbeexterminatedhewhorelies,1
solely,1
peaceful,2
measures,7
perish,1
instances,3
fu,13
chai,4
otherin,1
matters,7
sages,2
rule,9
normally,1
keep,19
peace,8
move,21
whenoccasionrequires,1
hewillnotusearmedforceunlessdriventoitby,1
necessity,4
subject,12
composed,3
profoundest,2
personal,5
ofwarinchaptersforholukingofwu,1
itsprinciplesweretested,1
subsequently,1
led,8
westwards,1
crushed,3
entered,5
kept,10
awe,3
hundred,11
attached,6
strings,1
wood,4
sharpened,1
empire,9
son,4
successor,1
nally,5
defeated,14
overthrown,3
kou,7
see,74
post,4
kingyenofhsuafabulousbeingofwhomsunhsingyensaysinhispreface,1
hishumanitybrought,1
destruction,5
lived,6
descendant,2
wuin,1
treatment,3
deliberationandplanningtheimportanceofrapidityintakingtheeld,1
clearness,2
conception,1
depth,2
design,2
stands,3
beyond,6
reach,9
carping,1
contemporaries,1
failed,4
grasp,3
meaning,27
instructions,6
putting,2
practice,6
smaller,1
abounds,2
overlooked,2
essential,6
purport,2
motive,1
me,11
outline,1
rough,2
explanation,12
whole,31
thing,9
explicit,3
statement,4
speciallycomposedforkingholu,1
thisissupportedbytheinternalevidenceofiss,1
ruler,7
bibliographic,1
section,2
entry,1
risetomuchdiscussion,1
theworksofsuntzuofwuinpienorchapterswith,1
diagramsinchuanitisevidentthatthiscannotbemerelythechaptersknown,1
those,44
possess,3
chang,70
shouchieh,2
refers,5
formed,3
addingthatthereweretwootherchuanbesides,1
thishasbroughtforthatheorythat,1
bulk,2
consisted,1
writings,1
should,88
call,2
themapocryphalsimilartothewentaofwhichaspecimendealingwiththenine,1
situationsis,1
preserved,4
tung,23
tien,18
shins,1
commentary,18
suggested,5
interview,2
afterwards,15
sort,5
exegesis,1
form,15
pi,4
ihsun,4
author,10
hsu,5
lubacksthisupwithaquotationfromthewuyuehchunchiuthekingof,1
summoned,2
questions,2
forth,11
nd,14
praise,1
expounded,1
scale,4
fragments,1
total,1
considerable,1
treatises,3
attributed,3
included,3
fact,18
chih,16
pien,4
whereas,12
suiandtangbibliographiesgivethetitlesofothersinadditiontothechaptersis,1
goodproofpi,1
thinksthatallofthesewerecontainedin,1
thepienwithout,1
pinningourfaithtotheaccuracyofdetailssuppliedbythewuyuehchunchiu,1
admitting,1
genuineness,1
cited,2
probable,3
solution,1
mystery,2
pan,20
ku,7
plenty,3
luxuriant,1
crop,1
forgeries,2
grown,3
magic,1
well,31
represent,1
collected,4
lumped,1
together,19
original,6
though,35
thatsomeofthemexistedinthetimeoftheearlierhistorianandwerepurposelyignored,1
brackets,1
omitted,1
tu,111
interpolation,3
known,18
dynasty,23
appears,13
tai,12
yu,101
lan,5
tsao,76
kung,52
thinking,3
part,26
chap,16
ii,6
perhaps,14
especially,5
xi,13
ontheotherhanditisnoteworthythatwutzuwhichisnotinchaptershasassignedtoitinthe,1
likewise,4
chung,4
yung,1
credited,1
mus,6
conjecture,1
wei,19
ti,10
strung,2
resulted,2
misun,1
derstanding,1
nal,4
hsingyen,9
outisonlyamodestwayofsayingthathemadeanexplanatoryparaphraseorinother,1
met,3
acceptance,2
thusthessukuchuanshusays,1
thementionofthechapters,1
shows,10
existence,6
accretions,1
considered,6
assertion,2
certainly,12
taken,18
proof,4
every,31
suppose,7
existed,1
practically,5
hetellsusinsomanywords,1
suntzuschaptersandwuchisartofwararethe,1
commonly,1
refer,3
both,21
themarewidelydistributedsoiwillnotdiscussthemherebutaswegofurtherback,1
seriousdifcultiesbegintoarise,1
thesalientfactwhichhastobefacedisthatthetso,1
chuanthegreatestcontemporaryrecordmakesnomentionwhatsoeverofsunwu,1
either,15
writer,2
natural,22
view,13
awkward,1
circumstance,2
themselves,10
frankly,1
skeptical,1
powerful,6
presentment,1
side,27
case,13
disposition,4
shuihsin,2
itisstatedinssumachienshistorythatsunwuwasanativeofthechi,1
chuenteredyingandwasagreatgeneral,1
butintsoscommentaryno,1
true,9
tsos,1
need,10
absolutelyeverythingthatotherhistoriescontain,1
buttsohasnotomitted,1
tomentionvulgarplebeiansandhirelingrufanssuchasyingkaoshu,1
kuei,7
chihwu,1
shechu,1
wuwhosefameandachievementsweresobrillianttheomissionismuch,1
glaring,2
due,3
con,9
temporaries,1
minister,6
peiis,1
credible,1
alone,13
passedover,1
point,33
literary,3
style,4
belongs,2
school,2
kuan,3
tzuliu,1
taoand,1
yuand,1
production,4
private,3
scholar,2
living,2
end,12
spring,3
short,13
works,9
tempted,3
think,15
simply,19
mean,7
leaves,3
sung,21
deserves,3
bracketed,1
assassins,1
abbreviated,2
ante,1
nucleus,2
probably,7
large,16
additions,2
infra,5
beginning,6
last,14
singled,1
andautumnorthebeginningofthewarringstatesperiodthestory,1
precepts,1
actually,10
big,2
talk,2
ofhis,3
followers,2
fromtheourishingperiodofthechoudynastydowntothetimeofthe,1
autumn,4
commanders,2
statesmen,1
andthe,2
class,3
ofprofessionalgenerals,1
forconductingexternalcampaigns,1
exist,2
six,9
statesthat,1
custom,1
changed,3
although,10
uncivilized,1
conceivablethattsoshouldhaveleftunrecordedthefactthatsunwuwas,1
held,7
civil,7
ofce,4
told,9
jangchuand,1
authentic,1
matter,9
reckless,2
fabrication,1
theorizing,1
pundits,1
lus,2
experiment,1
particular,5
utterly,5
preposterous,1
yehshuihsinrepresentsssumachienashavingsaidthatsunwucrushedchuand,1
correct,4
impression,2
readers,1
mindisthatheatleastsharedintheseexploits,1
thefactmayormaynotbesignicant,1
nowhere,2
explicitly,2
occasion,7
taking,14
moreover,3
expedition,4
successwaslargelyduetothedashandenterpriseoffukaiholusyoungerbrother,1
easy,6
played,1
prominent,2
campaign,9
chen,28
chensun,3
writers,4
look,4
tso,12
served,4
makes,20
uncertain,2
really,5
belonged,2
antiquity,3
noticeable,2
rejecting,1
per,2
sonality,1
gures,3
chiens,3
history,12
inclined,5
traditionally,1
assigned,3
passes,6
fails,1
appreciate,1
distinction,3
consequently,1
bitter,2
misses,1
mark,3
favor,5
high,15
age,4
chou,12
rd,2
jangchu,3
whose,15
family,4
half,10
believed,3
frequently,3
pla,1
giarized,1
subsequent,3
dynasties,6
shameless,1
offenders,2
respect,5
portant,1
personages,1
day,22
former,10
allegeddateofsuntzuandhisdeathisknowntohavetakenplaceinbcitwas,1
tseng,1
shen,1
delivered,1
entrusted,1
authornow,1
quotations,1
acknowledged,1
authors,3
differ,3
ent,3
epochs,1
establishes,3
anterior,1
treatise,7
already,18
furnished,3
archaic,1
obsolete,1
meanings,2
attaching,2
uses,2
list,2
extendedisgiveninthehsuluandthoughsomeoftheinterpretationsaredoubtful,1
main,7
argument,2
affected,3
thereby,4
forgotten,1
shuihsinascholarandcriticoftherstrankdeliberatelypronouncesthestyleofthe,1
belong,2
early,6
fth,2
seeing,5
engagedinanattempttodisprovetheexistenceofsunwuhimselfwemaybesurethat,1
hesitated,1
assign,2
honestly,1
lievedthecontrary,1
anditispreciselyonsuchapointthatthejudgmentofaneducated,1
chinaman,1
carry,12
weight,4
internal,1
evidence,4
seek,4
xiiiss,1
thereisanunmistakableallusiontotheancientsystemoflandtenurewhich,1
passed,5
mencius,3
anxious,7
revived,1
modied,1
formthe,1
warfare,16
knows,13
carried,9
variousfeudalprinces,1
inwhicharmoredchariots,1
playalargepart,1
theiruse,1
seemsto,1
entirely,3
ceased,2
touch,5
earlier,6
chances,7
bona,1
de,12
sensibly,1
diminished,1
long,28
forged,1
immedi,1
ately,1
particularly,2
unlikely,1
hastens,2
identify,2
lost,7
cause,13
shuihsins,1
recluse,1
untenable,1
apparent,2
reading,5
maxims,5
essence,2
distilled,1
store,3
observation,1
experience,4
reect,1
born,2
strategist,3
gifted,2
rare,1
faculty,2
generalization,1
practical,8
closely,5
acquainted,5
conditions,9
nothing,14
thefactthatthesesayingshavebeenacceptedandendorsedbyallthegreatestcaptains,1
offer,3
combination,5
freshness,1
sincerity,4
acuteness,1
common,10
sense,11
excludes,1
idea,7
articially,1
concocted,1
study,8
admit,1
militarymanlivingtowardstheendofthechunchiuperiodarewenotbound,1
spite,4
silence,1
entirety,1
inviewofhishighreputeasasoberhistorianmustwenothesitatetoassume,1
legges,1
classics,2
vol,4
prolegomena,1
p,19
legge,2
thinks,4
iii,7
records,2
drew,3
false,8
untrustworthy,1
negative,3
grave,1
fatal,1
objec,1
tiontothechronologyinvolvedinthestoryastoldintheshihchiwhichsofarasi,1
amawarenobodyhasyetpointedout,1
therearetwopassagesinsuntzuinwhichhe,1
alludes,7
contemporary,2
affairs,2
vi,5
exceed,2
victory,51
achieved,8
askedifanarmycanbemadetoimitatetheshuaijanishouldanswer,1
enemies,5
crossingariverinthesameboatandarecaughtbyastormtheywillcome,1
others,16
assistance,2
just,16
helps,2
paragraphs,1
extremely,3
valuable,2
composition,1
struggle,4
observed,3
escaped,2
seriously,4
impair,1
credibility,1
narrative,1
seen,14
positive,1
connection,5
spoken,2
ofasageneralactingascondentialadvisertoholusothathisallegedintroduction,1
tothatmonarchhadalreadytakenplaceandofcoursethechaptersmusthavebeen,1
capture,7
hereditary,1
enemy,171
stateschuandwuhadbeenconstantlyatwarforoverhalfacenturywhereasthe,1
waged,1
interlude,1
sandwiched,1
midst,6
erce,2
inference,2
writtenatatimewhenyuehhadbecometheprimeantagonistofwuthatisafterchu,1
suffered,1
humiliation,1
table,1
dates,1
useful,5
whenwurstappearsinthechunchiuinitisalreadyatvariancewithitspowerfulneighbor,1
xxxii,1
accession,4
attacks,17
dissuaded,1
entering,2
invades,2
signally,1
yuchang,1
aid,5
decisive,4
pochu,1
mention,5
raid,1
inthe,2
absence,2
beaten,3
evacuates,1
sends,2
attackchu,1
becomes,3
ofyueh,2
tsuili,2
killed,3
defeats,2
chienin,1
fuchaio,1
enters,1
renders,1
homage,1
towu,1
onwu,1
lays,3
siege,5
final,1
extinction,1
ofwu,1
thesentencequotedabovefromviss,1
hardlystrikesmeasonethatcouldhave,1
beenwritteninthefullushofvictory,1
itseemsrathertoimplythatforthemomentat,1
leastthetidehadturnedagainstwuandthatshewasgettingtheworstofthestruggle,1
hence,34
conclude,3
scored,1
notable,2
success,12
during,6
lull,2
hostilities,3
presumably,1
supreme,6
effort,3
choose,4
disregard,1
tradition,2
connecting,1
equally,5
possibly,3
becoming,1
serious,8
menacewe,1
feel,2
fairly,2
whoever,2
eminence,1
testimony,2
outweighs,1
shred,1
facts,3
discredited,1
feeble,2
explain,5
omission,2
got,12
credit,3
exploitsbecausethelatterbeinganalienwasnotrewardedwithanofceinthestate,1
legend,1
originate,1
growing,1
celebrity,1
imparted,1
degrees,1
kind,5
factitious,1
renown,1
felt,3
versed,2
solidachievementstohiscreditaswell,1
nowthecaptureofyingwasundoubtedlythe,1
greatestfeatofarmsinholusreignitmadeadeepandlastingimpressiononallthe,1
surrounding,2
shortlived,1
zenith,1
her,13
power,10
morenaturalastimewentonthanthattheacknowledgedmasterofstrategysunwu,1
shouldbepopularlyidentiedwiththatcampaignatrstperhapsonlyinthesensethat,1
brain,2
conceived,1
planned,1
feud,2
tend,1
grow,7
fully,10
justify,1
language,5
conjunction,2
yuanpo,1
kai,1
itisobviousthatanyattempttoreconstructeventheoutlineofsuntzuslifemust,1
bebasedalmostwhollyonconjecture,1
withthisnecessaryprovisoishouldsaythathe,1
gathered,1
experiencethoughonlyinthecapacityofasubordinateofcerduringtheintensemil,1
itary,1
activity,3
marked,2
reignif,1
gen,4
eral,2
never,22
footing,1
three,20
hewasdoubtlesspresentattheinvestmentandoccupationofyingandwitnessedwus,1
sudden,7
collapse,4
yuehs,1
critical,6
juncture,1
embarrassed,1
convinced,5
upstart,1
kingdom,7
whom,16
henceforth,1
directed,2
wellseasoned,1
warrior,1
sat,2
reckoning,2
appeared,2
ratherthanthebeginningofholusreign,1
thestoryofthewomenmaypossiblyhave,1
real,10
occurring,2
hear,4
source,1
deathstruggle,1
disaster,3
inferences,2
approximately,1
irony,1
fate,6
whichdecreedthatchinasmostillustriousmanofpeaceshouldbecontemporarywith,1
greatest,10
glean,1
quo,1
tations,1
occur,4
essentially,2
extant,5
word,13
widely,2
circulated,1
regret,1
refrained,2
discussing,1
seem,7
treated,9
itasaworkofmysteriousimportandwereunwillingtoexpounditforthe,1
benet,3
posterity,1
came,12
reasonable,1
ground,97
tampered,1
itself,8
often,9
edi,1
tions,3
surprising,2
corruptions,1
managed,4
withwuyuanhimselfthecaseisjustthereverse,1
aspurioustreatiseonwarhasbeenfatheredonhim,1
inducement,2
forgery,3
chaos,5
creep,1
middle,5
chief,7
mentaries,1
entitled,2
commentaries,4
ten,10
variant,3
readings,2
forward,6
tahsing,1
hadsupportersamongthescholarsofthatperiodbutinthemingeditionssunhsing,1
tells,6
longer,3
circula,1
tion,5
sole,3
possession,5
derived,2
tienpaos,2
actual,5
copy,4
import,2
ant,1
imperial,3
encyclopedia,2
printed,2
cheng,27
disposal,1
variations,8
contained,3
eleven,3
philosophers,1
rsteditionisevidentlyasimilarversionwhichhaslteredthroughjapanesechannels,1
things,13
remained,3
distinguished,3
antiquarian,1
classical,2
claimed,1
wuaccidentally,1
discovered,3
longlost,1
visit,1
library,3
huayin,1
templeappended,1
shuo,1
yuhsien,3
tioned,1
perished,2
hsingyendesignatesastheoriginaleditionortextarathermisleadingnamefor,1
means,39
claim,3
pristine,2
purity,1
careless,5
compiler,1
content,6
reproduce,1
debased,1
version,2
current,2
without,50
troubling,2
collate,1
editions,1
available,4
fortunately,2
versions,2
older,2
newly,2
buried,1
yusgreattreatiseontheconstitutiontheothersimilarlyenshrinedinthetaiping,1
split,5
fragmentsintermixedwithothermatterandscatteredpiecemealoveranumberofdif,1
ferent,1
sections,4
takes,11
valueoftheseearlytranscriptsofsuntzucanhardlybeoverestimated,1
yettheideaof,1
utilizing,1
occurred,2
anyone,1
undergovernmentinstructionsundertookathoroughrecensionofthetext,1
thisishis,1
becauseofthenumerousmistakesinthetextofsuntzuwhichhiseditors,1
handed,2
government,6
revised,2
correctedthroughout,1
ithappenedthatwunienhuthegovernorpikua,1
hsi,25
graduate,1
degree,2
devoted,4
prefaceadn,1
myfamilycomesfromloanandwearereallydescendedfromsuntzu,1
iamashamed,1
tosaythationlyreadmyancestorsworkfromaliterarypointofviewwithoutcomprehendingthemilitary,1
technique,1
enjoying,1
blessings,1
hoayin,1
miles,2
tungkuan,1
eastern,2
border,4
shensi,1
temple,2
visited,1
ascent,1
western,1
sacred,1
mountain,6
situatedvelieastofthedistrictcityofhuayin,1
thetemplecontainsthehuashantabletinscribedbythe,1
hsuan,3
tsung,4
surpassing,1
therein,1
blocks,1
atextbook,1
individuals,2
referred,2
evidently,2
occupied,2
prior,1
hsingyens,1
reallyaccomplished,1
atanyratetheneweditionwhenultimatelyproducedappeared,1
co,2
editor,2
jenshi,1
basis,2
careful,4
comparison,7
wellastheextantcommentariesandothersourcesofinformationsuchastheishuo,1
succeeded,8
restoring,1
turned,5
thewholewhatmustbeacceptedastheclosesapproximationweareeverlikelytoget,1
hereafter,1
denominated,1
reissue,1
dated,1
pen,2
ing,18
wellprinted,1
philosophical,1
penit,1
opens,1
largely,3
quoted,7
vindicating,1
traditional,1
life,14
performances,1
summing,1
remarkably,1
concise,3
fashion,4
followed,9
kungs,10
rstly,1
yuhsiens,1
shuowith,1
shortmiscellanyofhistoricalandbibliographicalinformationentitledsuntzuhsu,1
lucompiledbypiihsun,1
asregardsthebodyoftheworkeachseparatesentenceis,1
followedbyanoteonthetextifrequiredandthenbythevariouscommentariesapper,1
taining,1
arranged,2
chronological,1
proceed,3
boast,1
exceptionally,1
roll,3
honor,3
ouyang,3
hsiu,5
remarks,14
tale,2
rather,14
ingeniously,1
explains,10
artices,2
inexhaustible,1
susceptible,3
variety,2
ways,5
room,1
extraordinary,3
san,6
kuo,8
reads,3
romance,1
geniuses,1
napoleonic,1
operations,8
famed,1
marvelous,1
rapidity,10
marches,6
expression,3
line,8
ou,1
yang,3
captain,2
measured,2
strength,37
cho,2
pu,2
vanquished,3
catalogue,5
luzac,1
discussion,3
whenever,2
council,1
eve,2
farreaching,1
calculations,9
ran,1
counter,1
armies,9
incontinently,1
ight,5
models,1
austere,1
brevity,2
thoroughlycharacteristicofthesterncommanderknowntohistorythatitishard,1
conceive,1
mere,4
litterateur,1
sometimes,4
owing,7
extreme,5
compression,1
scarcely,1
intelligible,2
stand,6
meng,17
comparatively,3
meager,1
sonalnamehasnotbeenrecorded,1
chitienpaoseditionplaceshimafterchia,1
linand,1
assigns,1
dynastybut,1
mistake,6
insunhsingyensprefaceheappearsasmengshihoftheliangdyn,1
asty,1
kang,1
heisnamedinoneworkasthelastofthefivecommentatorstheothersbeing,1
mu,78
hao,22
chia,10
lin,12
lichuanofthethcenturywasawellknownwriteronmilitarytactics,1
ofhisworkshasbeeninconstantusedowntothepresentday,1
thetungchih,1
lives,6
himaccording,1
kungwu,5
tieniko,2
differs,1
considerably,2
mostly,1
illustrates,2
anecdotes,1
tuyudieddidnotpublishaseparatecommentaryonsuntzuhisnotes,1
beingtakenfromthetungtientheencyclopedictreatiseontheconstitution,1
repetitions,1
besides,7
ling,4
peculiar,1
arrangement,2
merits,1
apart,7
context,3
agree,3
always,15
quotes,16
